,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2722,2018,북부,남양주시,등록인구 (명),남자,344492.0
2723,2018,북부,남양주시,등록인구 (명),여자,344473.0
2724,2018,북부,남양주시,한국인 (명),소계,681828.0
2725,2018,북부,남양주시,한국인 (명),남자,340030.0
2726,2018,북부,남양주시,한국인 (명),여자,341798.0
2727,2018,북부,남양주시,외국인 (명),소계,7137.0
2728,2018,북부,남양주시,외국인 (명),남자,4462.0
2729,2018,북부,남양주시,외국인 (명),여자,2675.0
2730,2018,북부,남양주시,세대당 인구 (명),소계,2.58
2731,2018,북부,남양주시,65세이상 고령자 (명),소계,86748.0
2732,2018,북부,남양주시,65세이상 고령자 (명),한국인,86681.0
2733,2018,북부,남양주시,65세이상 고령자 (명),외국인,67.0
2734,2018,북부,남양주시,평균연령 (세),소계,40.5
2735,2018,북부,남양주시,인구밀도 (명/㎢),소계,1504.0
2736,2018,북부,남양주시,인구밀도면적 (㎢),소계,458.1
2737,2018,북부,파주시,세대수 (세대),소계,188407.0
2738,2018,북부,파주시,등록인구 (명),소계,463122.0
2739,2018,북부,파주시,등록인구 (명),남자,237376.0
2740,2018,북부,파주시,등록인구 (명),여자,225746.0
2741,2018,북부,파주시,한국인 (명),소계,451848.0
2742,2018,북부,파주시,한국인 (명),남자,229250.0
2743,2018,북부,파주시,한국인 (명),여자,222598.0
2744,2018,북부,파주시,외국인 (명),소계,11274.0
2745,2018,북부,파주시,외국인 (명),남자,8126.0
2746,2018,북부,파주시,외국인 (명),여자,3148.0
2747,2018,북부,파주시,세대당 인구 (명),소계,2.4
2748,2018,북부,파주시,65세이상 고령자 (명),소계,57977.0
2749,2018,북부,파주시,65세이상 고령자 (명),한국인,57889.0
2750,2018,북부,파주시,65세이상 고령자 (명),외국인,88.0
2751,2018,북부,파주시,평균연령 (세),소계,40.0
